ID,Physical interaction
YDL057W,1.0
YDL058W,25.0
YDL059C,63.0
YDL060W,34.0
YDL061C,44.0
YDL062W,
YDL063C,7.0
YDL064W,37.0
YDL065C,118.0
YDL066W,24.0
YDL067C,47.0
YDL068W,
YDL069C,10.0
YDL070W,65.0
YDL071C,
YDL072C,43.0
YDL073W,9.0
YDL074C,258.0
YDL075W,48.0
YDL076C,86.0
YDL077C,128.0
YDL078C,52.0
YDL079C,18.0
YDL080C,48.0
YDL081C,125.0
YDL082W,85.0
YDL083C,87.0
YDL084W,68.0
YDL085C-A,6.0
YDL085W,37.0
YDL086C-A,
YDL086W,12.0
YDL087C,33.0
YDL088C,46.0
YDL089W,13.0
YDL090C,36.0
YDL091C,29.0
YDL092W,19.0
YDL093W,20.0
YDL094C,
YDL095W,104.0
YDL096C,
YDL097C,128.0
YDL098C,18.0
YDL099W,60.0
YDL100C,198.0
YDL101C,121.0
YDL102W,46.0
YDL103C,22.0
YDL104C,36.0
YDL105W,6.0
YDL106C,59.0
YDL107W,7.0
YDL108W,26.0
YDL109C,5.0
YDL110C,27.0
YDL111C,36.0
YDL112W,22.0
YDL113C,33.0
YDL114W,11.0
YDL114W-A,
YDL115C,100.0
YDL116W,186.0
YDL117W,120.0
YDL118W,52.0
YDL119C,45.0
YDL120W,18.0
YDL121C,19.0
YDL122W,52.0
YDL123W,8.0
YDL124W,11.0
YDL125C,17.0
YDL126C,101.0
YDL127W,25.0
YDL128W,20.0
YDL129W,15.0
YDL130W,58.0
YDL130WA,
YDL130W-A,20.0
YDL131W,44.0
YDL132W,51.0
YDL133CA,
YDL133C-A,18.0
YDL133W,33.0
YDL134C,79.0
YDL134C-A,
YDL135C,48.0
YDL136W,78.0
YDL137W,42.0
YDL138W,11.0
YDL139C,14.0
YDL140C,229.0
YDL141W,5.0
YDL142C,107.0
YDL143W,40.0
YDL144C,15.0
YDL145C,60.0
YDL146W,14.0
YDL147W,69.0
YDL148C,64.0
YDL149W,63.0
YDL150W,27.0
YDL151C,
YDL152W,
YDL153C,52.0
YDL154W,14.0
YDL155W,71.0
YDL156W,61.0
YDL157C,51.0
YDL158C,
YDL159C-B,
YDL159W,27.0
YDL159W-A,1.0
YDL160C,71.0
YDL160C-A,9.0
YDL161W,19.0
YDL162C,
YDL163W,
YDL164C,29.0
YDL165W,70.0
YDL166C,15.0
YDL167C,26.0
YDL168W,34.0
YDL169C,8.0
YDL170W,16.0
YDL171C,45.0
YDL172C,
YDL173W,57.0
YDL174C,16.0
YDL175C,39.0
YDL176W,15.0
YDL177C,7.0
YDL178W,10.0
YDL179W,13.0
YDL180W,42.0
YDL181W,33.0
YDL182W,52.0
YDL183C,28.0
YDL184C,33.0
YDL185C-A,
YDL185W,110.0
YDL186W,24.0
YDL187C,
YDL188C,56.0
YDL189W,10.0
YDL190C,76.0
YDL191W,98.0
YDL192W,228.0
YDL193W,27.0
YDL194W,25.0
YDL195W,39.0
YDL196W,
YDL197C,19.0
YDL198C,15.0
YDL199C,16.0
YDL200C,17.0
YDL201W,17.0
YDL202W,17.0
YDL203C,47.0
YDL204W,15.0
YDL205C,6.0
YDL206W,13.0
YDL207W,23.0
YDL208W,42.0
YDL209C,31.0
YDL210W,21.0
YDL211C,6.0
YDL212W,92.0
YDL213C,42.0
YDL214C,14.0
YDL215C,38.0
YDL216C,31.0
YDL217C,19.0
YDL218W,7.0
YDL219W,16.0
YDL220C,44.0
YDL221W,
YDL222C,22.0
YDL223C,47.0
YDL224C,35.0
YDL225W,51.0
YDL226C,99.0
YDL227C,21.0
YDL228C,
YDL229W,604.0
YDL230W,27.0
YDL231C,11.0
YDL232W,42.0
YDL233W,27.0
YDL234C,22.0
YDL235C,40.0
YDL236W,39.0
YDL237W,10.0
YDL238C,4.0
YDL239C,26.0
YDL240C-A,
YDL240W,51.0
YDL241W,5.0
YDL242W,
YDL243C,23.0
YDL244W,3.0
YDL245C,3.0
YDL246C,7.0
YDL247W,2.0
YDL247W-A,
YDL248W,3.0
YDR001C,41.0
YDR002W,30.0
YDR003W,9.0
YDR003W-A,3.0
YDR004W,88.0
YDR005C,50.0
YDR006C,38.0
YDR007W,27.0
YDR008C,
YDR009W,28.0
YDR010C,
YDR011W,22.0
YDR012W,75.0
YDR013W,26.0
YDR014W,66.0
YDR014W-A,6.0
YDR015C,
YDR016C,16.0
YDR017C,238.0
YDR018C,5.0
YDR019C,8.0
YDR020C,9.0
YDR021W,7.0
YDR022C,13.0
YDR023W,43.0
YDR024W,
YDR025W,82.0
YDR026C,21.0
YDR027C,80.0
YDR028C,66.0
YDR029W,
YDR030C,3.0
YDR031W,4.0
YDR032C,40.0
YDR033W,46.0
YDR034C,9.0
YDR034CA,
YDR034C-A,2.0
YDR034C-C,
YDR034C-D,
YDR034WB,
YDR034W-B,1.0
YDR035W,12.0
YDR036C,14.0
YDR037W,30.0
YDR038C,10.0
YDR039C,14.0
YDR040C,22.0
YDR041W,19.0
YDR042C,10.0
YDR043C,80.0
YDR044W,13.0
YDR045C,48.0
YDR046C,10.0
YDR047W,8.0
YDR048C,
YDR049W,151.0
YDR050C,46.0
YDR051C,8.0
YDR052C,58.0
YDR053W,
YDR054C,52.0
YDR055W,9.0
YDR056C,31.0
YDR057W,37.0
YDR058C,51.0
YDR059C,24.0
YDR060W,60.0
YDR061W,16.0
YDR062W,25.0
YDR063W,19.0
YDR064W,70.0
YDR065W,21.0
YDR066C,6.0
YDR067C,55.0
YDR068W,16.0
YDR069C,83.0
YDR070C,10.0
YDR071C,102.0
YDR072C,77.0
YDR073W,57.0
YDR074W,243.0
YDR075W,125.0
YDR076W,108.0
YDR077W,37.0
YDR078C,17.0
YDR079C-A,8.0
YDR079W,9.0
YDR080W,196.0
YDR081C,8.0
YDR082W,18.0
YDR083W,96.0
YDR084C,14.0
YDR085C,16.0
YDR086C,26.0
YDR087C,61.0
YDR088C,24.0
YDR089W,4.0
YDR090C,12.0
YDR091C,54.0
YDR092W,110.0
YDR093W,24.0
YDR094W,
YDR095C,
YDR096W,49.0
YDR097C,42.0
YDR098C,30.0
YDR098C-A,
YDR098C-B,
YDR099W,136.0
YDR100W,56.0
YDR101C,84.0
YDR102C,
YDR103W,33.0
YDR104C,22.0
YDR105C,32.0
YDR106W,7.0
YDR107C,13.0
YDR108W,209.0
YDR109C,1.0
YDR110W,48.0
YDR111C,19.0
YDR112W,
YDR113C,63.0
YDR114C,3.0
YDR115W,8.0
YDR116C,59.0
YDR117C,17.0
YDR118W,16.0
YDR118W-A,
YDR119W,12.0
YDR119W-A,3.0
YDR120C,56.0
YDR121W,71.0
YDR122W,47.0
YDR123C,129.0
YDR124W,24.0
YDR125C,5.0
YDR126W,120.0
YDR127W,267.0
YDR128W,83.0
YDR129C,83.0
YDR130C,33.0
YDR131C,11.0
YDR132C,22.0
YDR133C,
YDR134C,
YDR135C,14.0
YDR136C,
YDR137W,300.0
YDR138W,57.0
YDR139C,28.0
YDR140W,15.0
YDR141C,79.0
YDR142C,11.0
YDR143C,47.0
YDR144C,29.0
YDR145W,136.0
YDR146C,165.0
YDR147W,19.0
YDR148C,90.0
YDR149C,
YDR150W,152.0
YDR151C,16.0
YDR152W,19.0
YDR153C,50.0
YDR154C,
YDR155C,72.0
YDR156W,141.0
YDR157W,
YDR158W,78.0
YDR159W,358.0
YDR160W,4.0
YDR161W,15.0
YDR162C,177.0
YDR163W,30.0
YDR164C,52.0
YDR165W,13.0
YDR166C,35.0
YDR167W,52.0
YDR168W,36.0
YDR169C,25.0
YDR169C-A,
YDR170C,32.0
YDR170W-A,
YDR171W,54.0
YDR172W,128.0
YDR173C,29.0
YDR174W,215.0
YDR175C,29.0
YDR176W,103.0
YDR177W,26.0
YDR178W,21.0
YDR179C,24.0
YDR179WA,
YDR179W-A,14.0
YDR180W,21.0
YDR181C,64.0
YDR182W,16.0
YDR182W-A,1.0
YDR183C-A,
YDR183W,34.0
YDR184C,46.0
YDR185C,6.0
YDR186C,28.0
YDR187C,
YDR188W,62.0
YDR189W,33.0
YDR190C,102.0
YDR191W,23.0
YDR192C,38.0
YDR193W,
YDR194C,46.0
YDR194W-A,
YDR195W,44.0
YDR196C,23.0
YDR197W,3.0
YDR198C,10.0
YDR199W,
YDR200C,119.0
YDR201W,33.0
YDR202C,51.0
YDR203W,
YDR204W,47.0
YDR205W,25.0
YDR206W,35.0
YDR207C,284.0
YDR208W,51.0
YDR209C,
YDR210C-C,
YDR210C-D,
YDR210W,5.0
YDR210W-A,
YDR210W-B,
YDR211W,45.0
YDR212W,55.0
YDR213W,55.0
YDR214W,44.0
YDR215C,
YDR216W,66.0
YDR217C,148.0
YDR218C,15.0
YDR219C,21.0
YDR220C,
YDR221W,32.0
YDR222W,13.0
YDR223W,13.0
YDR224C,119.0
YDR225W,195.0
YDR226W,65.0
YDR227W,75.0
YDR228C,30.0
YDR229W,69.0
YDR230W,
YDR231C,8.0
YDR232W,10.0
YDR233C,92.0
YDR234W,14.0
YDR235W,23.0
YDR236C,2.0
YDR237W,27.0
YDR238C,71.0
