,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
SIW14,0.6, 0.05314,5.164e-08, 0.024030,2.733e-08,2.028e-06,4.021e-11, 2.902,3.551e-04,0.08000,7.528e-08
IES1,0.4,-0.08728,0.000e+00,-0.018645,1.000e-08,2.195e-06,1.414e-11, 2.868,8.855e-04,0.09614,9.574e-08
HER2,0.6,-0.06499,2.041e-07,-0.002980,0.000e+00,2.308e-06,1.194e-10, 2.846,1.050e-03,0.87590,1.407e-06
CBF1,0.3,-0.09887,0.000e+00,-0.044330,1.000e-08,2.381e-06,5.774e-12, 2.832,7.050e-04,0.12109,5.774e-08
INO4,0.4,-0.09128,0.000e+00,-0.056624,1.708e-08,2.440e-06,5.000e-12, 2.822,6.746e-04,0.13402,1.000e-07
RCM1,0.5, 0.08864,5.477e-08, 0.026676,1.304e-08,2.484e-06,1.789e-11, 2.814,6.284e-04,0.12105,8.367e-08
CTF4,0.5,-0.10140,5.477e-08,-0.027635,5.477e-09,2.503e-06,4.472e-12, 2.811,3.130e-04,0.15610,8.367e-08
MAC1,0.4,-0.07265,3.000e-07,-0.023458,2.256e-07,2.751e-06,3.625e-10, 2.770,2.967e-04,0.07713,7.681e-07
MMS22,0.3,-0.09567,5.774e-08,-0.032029,5.774e-09,2.804e-06,0.000e+00, 2.762,0.000e+00,0.15289,5.774e-08
CAF130,0.5,-0.10524,4.472e-08,-0.023350,1.789e-08,3.094e-06,2.793e-11, 2.719,1.042e-03,0.07287,8.944e-08
URC2,0.4,-0.07530,0.000e+00,-0.017461,5.000e-09,3.095e-06,5.000e-12, 2.719,6.754e-04,0.15508,0.000e+00
SRV2,0.4,-0.10095,5.774e-08,-0.057765,2.828e-08,3.473e-06,3.775e-11, 2.669,3.500e-04,0.14115,5.000e-08
SNF2,0.4,-0.02748,5.000e-08,-0.056007,3.000e-08,3.580e-06,3.000e-11, 2.656,1.151e-03,0.09765,1.000e-07
SIR2,0.4,-0.06034,0.000e+00,-0.006683,0.000e+00,3.911e-06,9.574e-12, 2.617,6.746e-04,0.94999,5.774e-08
DHH1,0.4,-0.11016,5.774e-08,-0.037717,4.123e-08,3.923e-06,6.403e-11, 2.616,8.894e-04,0.11490,1.500e-07
RRP8,0.3,-0.08431,0.000e+00,-0.022996,1.528e-08,3.953e-06,3.512e-11, 2.612,8.170e-04,0.08046,1.000e-07
RTT106,0.4,-0.11201,0.000e+00,-0.024536,0.000e+00,3.961e-06,5.774e-12, 2.612,3.500e-04,0.11702,0.000e+00
RAD27,0.5,-0.10048,3.050e-07,-0.031674,1.456e-07,4.219e-06,8.396e-11, 2.585,7.655e-04,0.12110,1.849e-06
CST6,0.3,-0.08003,0.000e+00,-0.062094,2.309e-08,4.430e-06,1.732e-11, 2.562,8.112e-04,0.15493,1.155e-07
IRC25,0.3,-0.09180,0.000e+00,-0.020169,0.000e+00,4.990e-06,1.155e-11, 2.511,1.628e-03,0.16615,0.000e+00
PET112,0.8, 0.11797,9.161e-08, 0.016823,9.258e-09,5.077e-06,2.828e-11, 2.504,6.512e-04,0.09217,9.258e-08
CTI6,1.0, 0.10168,3.951e-02, 0.029319,1.865e-02,5.086e-06,6.566e-06, 6.364,3.665e+00,0.42822,3.992e-01
BIK1,0.5, 0.07820,1.633e-06, 0.015103,8.166e-07,5.213e-06,4.372e-09, 2.493,8.380e-04,0.06366,2.897e-06
ENV11,0.6,-0.06488,4.082e-07,-0.006444,8.165e-09,5.494e-06,6.917e-10, 2.469,6.287e-04,0.79700,5.798e-06
IOC2,0.4,-0.09478,5.000e-08,-0.020994,2.646e-08,7.060e-06,1.109e-10, 2.361,9.574e-06,0.07784,8.165e-08
SAP155,0.5,-0.07525,0.000e+00,-0.028965,8.944e-09,7.171e-06,8.944e-12, 2.354,1.175e-03,0.10937,4.472e-08
BRE1,0.8,-0.09906,4.629e-08,-0.034037,1.598e-08,7.187e-06,4.612e-11, 2.353,9.179e-04,0.12122,9.161e-08
ULS1,0.6,-0.04743,4.082e-08,-0.022559,3.670e-08,8.471e-06,2.002e-10, 2.281,1.064e-03,0.06249,8.165e-08
DOC1,0.2,-0.11333,7.071e-08,-0.034615,7.071e-09,1.017e-05,7.071e-11, 2.202,5.020e-04,0.13324,1.414e-07
HST1,0.6,-0.06024,8.165e-08,-0.006139,4.082e-09,1.058e-05,2.658e-10, 2.185,6.880e-04,0.94324,2.258e-07
MSH2,0.5,-0.05904,1.789e-07,-0.006135,4.472e-09,1.069e-05,3.130e-10, 2.180,6.228e-04,0.92816,8.944e-07
ARX1,0.6,-0.08155,5.164e-08,-0.023868,2.137e-08,1.227e-05,1.897e-10, 2.120,5.773e-04,0.08700,8.165e-08
NFI1,0.3,-0.08267,8.083e-07,-0.018674,2.570e-07,1.232e-05,1.185e-09, 2.119,4.258e-04,0.10946,3.119e-06
LGE1,0.5,-0.09823,4.472e-08,-0.034288,1.095e-08,1.389e-05,7.071e-11, 2.067,1.046e-03,0.08576,4.472e-08
ACO1,0.6,-0.08990,0.000e+00,-0.050476,5.164e-09,1.573e-05,5.477e-11, 2.013,1.061e-03,0.16498,8.944e-08
