Gene	HL_IB	HL_MS	PP
YBR256C	280.0	1199.3	NA
YBR257W	NA	1267.5	NA
YBR258C	45.0	385.0	0.3959
YBR259W	15.0	NA	0.6054
YBR260C	45.0	14.6	0.3585
YBR261C	NA	630.7	0.3988
YBR262C	NA	321.8	0.46
YBR263W	43.0	547.9	0.3207
YBR264C	57.0	508.8	0.5089
YBR265W	206.0	262.4	NA
YBR266C	11.0	NA	0.6759
YBR267W	116.0	289.4	1.217
YBR268W	NA	322.1	0.2418
YBR269C	NA	169.8	1.199
YBR270C	NA	NA	0.4848
YBR271W	80.0	NA	0.2698
YBR272C	15.0	1100.8	0.3966
YBR273C	47.0	463.8	0.5045
YBR274W	30.0	357.7	0.5763
YBR275C	NA	387.7	0.3109
YBR276C	NA	NA	1.007
YBR277C	NA	NA	0.9266
YBR278W	1162.0	670.6	0.9592
YBR279W	117.0	513.2	1.346
YBR280C	NA	304.5	0.4895
YBR281C	56.0	659.0	0.89
YBR282W	132.0	924.1	0.699
YBR283C	NA	NA	0.8659
YBR284W	NA	NA	0.8476
YBR285W	NA	NA	0.5065
YBR286W	9.0	486.0	0.5267
YBR287W	29.0	NA	0.4091
YBR288C	79.0	701.1	0.4204
YBR289W	3.0	NA	0.3812
YBR290W	48.0	NA	0.6217
YBR291C	NA	406.8	0.6433
YBR292C	NA	NA	0.3997
YBR293W	NA	NA	0.4101
YBR294W	NA	NA	0.7571
YBR295W	NA	NA	0.6279
YBR296C	NA	NA	0.5659
YBR296C-A	NA	NA	NA
YBR297W	NA	NA	0.9189
YBR298C	NA	NA	1.111
YBR298C-A	NA	NA	NA
YBR299W	42.0	NA	0.8816
YBR300C	NA	NA	1.157
YBR301W	NA	NA	0.3571
YBR302C	8.0	NA	NA
YCL001W	NA	449.8	0.2163
YCL001W-A	NA	NA	0.7234
YCL001W-B	NA	NA	NA
YCL002C	NA	NA	0.6551
YCL004W	NA	962.9	NA
YCL005W	42.0	NA	0.8583
YCL005W-A	NA	NA	NA
YCL007C	NA	NA	1.383
YCL008C	46.0	NA	0.9546
YCL009C	105.0	667.6	0.4723
YCL010C	42.0	387.3	0.7804
YCL011C	61.0	532.4	0.5584
YCL012C	NA	217.7	NA
YCL014W	8.0	450.7	NA
YCL016C	63.0	705.7	1.655
YCL017C	NA	385.9	NA
YCL018W	NA	NA	NA
YCL021W-A	NA	NA	NA
YCL022C	NA	NA	1.02
YCL023C	NA	NA	0.5213
YCL024W	22.0	443.9	0.5885
YCL025C	19.0	NA	0.5631
YCL026C-A	NA	NA	NA
YCL026C-B	NA	NA	NA
YCL027W	NA	NA	0.7921
YCL028W	51.0	1009.9	0.5448
YCL029C	77.0	693.2	1.662
YCL030C	NA	7649.4	0.2605
YCL031C	101.0	514.0	NA
YCL032W	39.0	374.9	0.6288
YCL033C	NA	251.5	1.0
YCL034W	NA	473.3	0.7082
YCL035C	NA	569.1	0.5655
YCL036W	NA	127.3	0.8194
YCL037C	NA	630.2	1.655
YCL038C	NA	NA	0.793
YCL039W	23.0	582.3	0.5425
YCL040W	142.0	905.3	0.6063
YCL041C	NA	NA	NA
YCL042W	NA	NA	0.7833
YCL043C	8.0	745.4	NA
YCL044C	99.0	440.4	0.6434
YCL045C	48.0	482.1	0.6914
YCL046W	NA	NA	0.5041
YCL047C	210.0	9627.3	1.037
YCL048W	NA	NA	0.866
YCL048W-A	NA	NA	NA
YCL049C	19.0	NA	0.8128
YCL050C	122.0	904.0	0.7327
YCL051W	NA	NA	0.394
YCL052C	NA	NA	NA
YCL054W	NA	514.5	NA
YCL055W	17.0	39.7	0.9121
YCL056C	37.0	NA	1.03
YCL057C-A	NA	377.8	NA
YCL057W	63.0	544.4	0.8479
YCL058C	NA	NA	0.772
YCL058W-A	NA	70.8	NA
YCL059C	191.0	419.0	NA
YCL061C	98.0	NA	NA
YCL063W	31.0	NA	0.685
YCL064C	70.0	90.6	0.4191
YCL065W	NA	NA	NA
YCL066W	NA	NA	NA
YCL067C	NA	NA	NA
YCL068C	NA	NA	NA
YCL069W	NA	NA	0.3556
YCL073C	NA	NA	NA
YCL076W	NA	NA	0.3677
YCR001W	NA	NA	0.6895
YCR002C	NA	1301.8	1.519
YCR003W	225.0	NA	0.4098
YCR004C	NA	438.3	0.656
YCR005C	30.0	84.1	0.3606
YCR006C	NA	NA	0.6932
YCR007C	NA	NA	0.4639
YCR008W	12.0	292.2	0.5649
YCR009C	50.0	578.4	0.9417
YCR010C	NA	NA	0.7632
YCR011C	NA	1028.0	0.7127
YCR012W	199.0	984.6	NA
YCR013C	NA	NA	NA
YCR014C	NA	NA	0.4446
YCR015C	NA	401.2	0.964
YCR016W	68.0	475.4	1.021
YCR017C	689.0	NA	0.3698
YCR018C	2.0	NA	NA
YCR018C-A	NA	NA	NA
YCR019W	NA	458.1	0.4472
YCR020C	65.0	NA	0.516
YCR020C-A	NA	138.6	0.6562
YCR020W-B	30.0	556.9	1.524
YCR021C	NA	NA	0.381
YCR022C	NA	NA	0.8108
YCR023C	48.0	NA	0.4681
