Gene	HL_IB	HL_MS	PP	HL_IB_quantile	HL_IB_pt	HL_MS_quantile	HL_MS_pt
YDR087C	51.0	499.5	NA	0.18931001061841743	0.1102243362467151	-0.1175724863695334	0.06475313596604569
YDR088C	79.0	503.6	NA	0.6502735865864834	0.4804657317057302	-0.09561463128840181	0.07775991444947362
YDR089W	3.0	512.3	0.3283	-1.8312243273394466	-2.0942510821168634	-0.04328625328148984	0.1050598422704196
YDR090C	87.0	NA	0.6225	0.7529974415343902	0.5623811535019995	NA	NA
YDR091C	38.0	570.8	NA	-0.1409772839403474	-0.13702736237019134	0.3038316557355329	0.27889242815495424
YDR092W	NA	NA	0.775	NA	NA	NA	NA
YDR093W	19.0	680.4	0.5425	-0.8957798188835894	-0.7110011064922753	0.9694267073728421	0.566815888515448
YDR094W	NA	NA	0.6642	NA	NA	NA	NA
YDR095C	NA	NA	0.4629	NA	NA	NA	NA
YDR096W	28.0	511.6	0.3541	-0.49213682280838095	-0.3916563966546011	-0.04624478934356729	0.10287815161919772
YDR097C	31.0	464.1	0.7435	-0.3695581856124021	-0.3070510228336964	-0.31764959351109384	-0.05155063329911452
YDR098C	226.0	816.7	0.63	1.4662469081737692	1.3768182857456865	1.4258194898210048	0.873563522582437
YDR099W	NA	645.2	0.4825	NA	NA	0.802225683044881	0.4790051859865071
YDR100W	76.0	NA	0.5665	0.6135094449805308	0.44761602754818824	NA	NA
YDR101C	96.0	546.6	0.4722	0.8320062700164733	0.6460705152946886	0.15021793681022128	0.2089365992322277
YDR102C	NA	NA	0.4492	NA	NA	NA	NA
YDR103W	5.0	181.3	0.7339	-1.6395387799723165	-1.7457694276393811	-1.476153548294244	-1.4391159299045004
YDR104C	NA	NA	0.4697	NA	NA	NA	NA
YDR105C	NA	NA	0.4293	NA	NA	NA	NA
YDR106W	NA	NA	NA	NA	NA	NA	NA
YDR107C	NA	380.1	0.2397	NA	NA	-0.7291850763217648	-0.3615880685555988
YDR108W	42.0	601.4	0.2406	-0.02509400752630838	-0.053110812697323505	0.5188689106428266	0.36377411003859356
YDR109C	3.0	489.0	0.4961	-1.8312243273394466	-2.0942510821168634	-0.1803766849109751	0.031018269780257623
YDR110W	12.0	464.4	0.3936	-1.2447784131572894	-1.0812423699420628	-0.3145208666380827	-0.050533321387656746
YDR111C	35.0	317.4	0.7774	-0.2316410556979774	-0.2058209349638933	-0.9812242371371241	-0.6342697475987339
YDR112W	NA	NA	0.3698	NA	NA	NA	NA
YDR113C	NA	NA	NA	NA	NA	NA	NA
YDR114C	NA	NA	0.2308	NA	NA	NA	NA
YDR115W	93.0	NA	0.5232	0.8039576712814882	0.6190694799525497	NA	NA
YDR116C	47.0	495.7	0.8501	0.11062728256906962	0.04143076365301315	-0.13971029888186154	0.052615578516488924
YDR117C	NA	559.7	1.286	NA	NA	0.2316410556979774	0.24712947883847175
YDR118W	100.0	NA	NA	0.86072523825827	0.6808009549135338	NA	NA
YDR118W-A	NA	NA	NA	NA	NA	NA	NA
YDR119W	9.0	422.9	0.6184	-1.401176963756683	-1.3067344595866646	-0.5247504357747451	-0.19696495572739123
YDR119W-A	NA	NA	NA	NA	NA	NA	NA
YDR120C	29.0	483.1	0.5515	-0.4528584793924642	-0.3625193200055658	-0.22012391271963647	0.011787349033983726
YDR121W	137.0	637.6	0.6608	1.102440367015165	0.9490674664423341	0.7510344428538938	0.4595048837474902
YDR122W	487.0	651.2	0.21100000000000002	1.8888547721516618	2.034620529386032	0.8373383608517686	0.49426062981155844
YDR123C	13.0	NA	1.036	-1.1971932730470463	-1.0175495018818967	NA	NA
YDR124W	65.0	NA	0.6773	0.4556403137378794	0.31512945488509303	NA	NA
YDR125C	33.0	NA	0.9087	-0.2939857808389507	-0.2549464527825869	NA	NA
YDR126W	NA	NA	0.32899999999999996	NA	NA	NA	NA
YDR127W	60.0	722.8	0.7557	0.35883340680587744	0.24742033809363734	1.1448959732150612	0.6675255323359585
YDR128W	3.0	374.4	0.7818	-1.8312243273394466	-2.0942510821168634	-0.7548583481153988	-0.384704673314397
YDR129C	96.0	560.8	0.5779	0.8320062700164733	0.6460705152946886	0.23750136093284913	0.2503013001583536
YDR130C	NA	NA	0.491	NA	NA	NA	NA
YDR131C	NA	NA	0.3312	NA	NA	NA	NA
YDR132C	11.0	NA	0.3463	-1.2924648930969886	-1.150036074544992	NA	NA
YDR133C	NA	NA	0.3249	NA	NA	NA	NA
YDR135C	56.0	NA	0.3524	0.29267606076175356	0.18912941962370014	NA	NA
YDR136C	NA	NA	0.5711	NA	NA	NA	NA
YDR137W	32.0	387.7	0.2602	-0.32822341801540306	-0.28060389820929577	-0.6938304091907813	-0.33122641367387456
YDR138W	27.0	493.8	3.145	-0.5249763962160622	-0.421816148787508	-0.15408868056412214	0.04651667403781787
YDR139C	NA	1435.0	0.4823	NA	NA	2.044462112759578	1.870214530881358
YDR140W	239.0	473.8	0.5686	1.4979965988053374	1.4246808712868289	-0.2685632226646483	-0.018941144976485375
YDR141C	23.0	653.8	NA	-0.6975071194373863	-0.5543027214506029	0.8503166306952199	0.500833677927242
