"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"IKI1"," 0.2579885"," 0.04216608"," 1.02813e-91"," 88.20049","0.943932","127"
"THR1"," 0.2566534"," 0.02769120"," 1.00247e-90"," 87.21147","0.908702"," 48"
"SGF73"," 0.2562903"," 0.04636314"," 1.70351e-90"," 86.98120","0.863815","114"
"RAD1","-0.2558794","-0.02798346"," 3.34958e-90"," 86.68755","0.897909"," 89"
"URM1","-0.2541474","-0.05175615"," 5.71253e-89"," 85.45571","0.901949"," 88"
"SNF11","-0.2541195","-0.02179602"," 6.18231e-89"," 85.42139","0.933328"," 53"
"MRT4"," 0.2540610"," 0.02897262"," 6.57728e-89"," 85.39449","0.890637"," 76"
"MSC1"," 0.2535670"," 0.02575878"," 1.52048e-88"," 85.03056","0.909055","110"
"UBP3"," 0.2528668"," 0.06566073"," 4.58739e-88"," 84.55097","0.878092","120"
"SNF8"," 0.2520990"," 0.03389292"," 1.59035e-87"," 84.01105","0.907317"," 40"
"APC9"," 0.2518894"," 0.01733175"," 2.23150e-87"," 83.86394","0.879643"," 77"
"RTT106"," 0.2510574"," 0.03127397"," 8.53218e-87"," 83.28148","0.858020","124"
"SRB2"," 0.2509567"," 0.05615596"," 1.00324e-86"," 83.21113","0.885180","115"
