ID,Noise SD
YDR109C,
YDR110W,
YDR111C,
YDR112W,
YDR113C,
YDR114C,
YDR115W,5.0576122633
YDR116C,-0.3292355784
YDR117C,
YDR118W,
YDR118W-A,
YDR119W,1.0033471005
YDR119W-A,
YDR120C,0.7398748763
YDR121W,
YDR122W,-0.8700175783
YDR123C,
YDR124W,
YDR125C,
YDR126W,
YDR127W,0.0154773902
YDR128W,
YDR129C,-0.3042853377
YDR130C,
YDR131C,
YDR132C,
YDR133C,
YDR134C,
YDR135C,-0.2552009999
YDR136C,
YDR137W,
YDR138W,
YDR139C,
YDR140W,
YDR141C,
YDR142C,
YDR143C,
YDR144C,
YDR145W,0.1878745887
YDR146C,
YDR147W,
YDR148C,1.3409260517
YDR149C,
YDR150W,-0.2708145328
YDR151C,
YDR152W,
YDR153C,-1.5102322623
YDR154C,
YDR155C,0.2531058429
YDR156W,-1.2272278937
YDR157W,
YDR158W,-1.7421432378
YDR159W,
YDR160W,
YDR161W,0.3984709911
YDR162C,
YDR163W,
YDR164C,
YDR165W,1.089075937
YDR166C,-0.8966666667
YDR167W,
YDR168W,-0.1299287272
YDR169C,-0.3656066088
YDR169C-A,
YDR170C,-0.8629335276
YDR170W-A,16.0418297102
YDR171W,2.2565697012
YDR172W,-1.2885133896
YDR173C,
YDR174W,1.8977954271
YDR175C,-1.277869791
YDR176W,
YDR177W,-0.6022813999
YDR178W,3.7841854672
YDR179C,0.5440442558
YDR179WA,
YDR179W-A,
YDR180W,
YDR181C,
YDR182W,
YDR182W-A,
YDR183C-A,
YDR183W,
YDR184C,
YDR185C,-0.6403517499
YDR186C,
YDR187C,
YDR188W,
YDR189W,-0.2190189697
YDR190C,
YDR191W,
YDR192C,
YDR193W,
YDR194C,0.5500136884
YDR194W-A,
YDR195W,-0.5812742362
YDR196C,-0.9852239979
YDR197W,
YDR198C,
YDR199W,
YDR200C,
YDR201W,
YDR202C,
YDR203W,
YDR204W,
YDR205W,
YDR206W,
YDR207C,
YDR208W,
YDR209C,
YDR210C-C,
YDR210C-D,
YDR210W,-0.1127683268
YDR210W-A,
YDR210W-B,
YDR211W,1.7885653233
YDR212W,
YDR213W,
YDR214W,-0.5315720567
YDR215C,
YDR216W,
YDR217C,
YDR218C,
YDR219C,
YDR220C,
YDR221W,
YDR222W,
YDR223W,
YDR224C,
YDR225W,-0.6873612829
YDR226W,-1.4968304355
YDR227W,-1.1109913948
YDR228C,
YDR229W,-0.4996370375
YDR230W,
YDR231C,-0.7875963576
YDR232W,2.9553899412
YDR233C,-1.4597403414
YDR234W,0.9207433931
YDR235W,
YDR236C,
YDR237W,
YDR238C,-2.2443387631
YDR239C,
YDR240C,
YDR241W,
YDR242W,
YDR243C,
YDR244W,
YDR245W,-0.4899809987
YDR246W,-0.8348220238
YDR246W-A,
YDR247W,-1.0237559123
YDR248C,-0.1607543642
YDR249C,
YDR250C,
YDR251W,
YDR252W,0.6517496474
YDR253C,
YDR254W,
YDR255C,
YDR256C,
YDR257C,4.6804688886
YDR258C,6.723661696
YDR259C,
YDR260C,
YDR261C,
YDR261C-C,
YDR261C-D,
YDR261W-A,
YDR261W-B,
YDR262W,
YDR263C,
YDR264C,0.5952486799
YDR265W,
YDR266C,0.0209823904
YDR267C,
YDR268W,
YDR269C,
YDR270W,
YDR271C,
YDR272W,-1.1976711156
YDR273W,
YDR274C,
YDR275W,
YDR276C,
YDR277C,
YDR278C,
YDR279W,
YDR280W,-1.8083091977
YDR281C,
YDR282C,
YDR283C,
YDR284C,
YDR285W,
YDR286C,
YDR287W,
YDR288W,
YDR289C,
YDR290W,
YDR291W,
YDR292C,
YDR293C,1.8159515817
YDR294C,0.0329279815
YDR295C,
YDR296W,-1.0476523043
YDR297W,4.5451243235
YDR298C,8.6788102087
YDR299W,0.8783418128
YDR300C,-0.0304956974
YDR301W,
YDR302W,-1.1396531918
YDR303C,
YDR304C,
YDR305C,
YDR306C,
YDR307W,0.281823727
YDR308C,0.737584717
YDR309C,
YDR310C,
YDR311W,
YDR312W,
YDR313C,
YDR314C,
YDR315C,
YDR316W,
YDR316W-A,
YDR316W-B,
YDR317W,
YDR318W,
YDR319C,
YDR320C,0.1977422431
YDR320C-A,0.6119001378
YDR320W-B,
YDR321W,
YDR322CA,
YDR322C-A,1.7583935318
YDR322W,-0.4811152213
YDR323C,
YDR324C,-0.2611701598
YDR325W,
YDR326C,
YDR327W,
YDR328C,0.2568331505
YDR329C,
YDR330W,0.7341682648
YDR331W,0.7543933912
YDR332W,
YDR333C,
YDR334W,
YDR335W,-0.7229618516
YDR336W,
YDR337W,
YDR338C,
YDR339C,
YDR340W,
YDR341C,
YDR342C,
YDR343C,
YDR344C,
YDR345C,2.1028593574
YDR346C,-0.162694237
YDR347W,-0.7895577288
YDR348C,-0.5992099019
YDR349C,
YDR350C,
YDR351W,
YDR352W,-1.1806869033
YDR353W,0.1014453294
YDR354C-A,
YDR354W,0.0282481352
YDR355C,
YDR356W,
YDR357C,-1.4368195703
YDR358W,2.0289809675
YDR359C,
YDR360W,
YDR361C,0.399952046
YDR362C,
YDR363W,
YDR363WA,
YDR363W-A,-1.9969997848
YDR364C,
YDR365C,
YDR365W-B,
YDR366C,
YDR367W,-0.815646679
YDR368W,0.385182666
YDR369C,
YDR370C,
YDR371C-A,
YDR371W,
YDR372C,-1.1517674419
YDR373W,
YDR374C,
YDR374W-A,
YDR375C,
YDR376W,
YDR377W,3.8782750745
YDR378C,
YDR379C-A,
YDR379W,
YDR380W,
YDR381C-A,
YDR381W,1.6063930897
YDR382W,-1.8481510665
YDR383C,
