,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
SWI3,0.7,-0.06830,2.215e-07,-0.054799,6.689e-07,1.355e-07,2.344e-11, 4.077,1.007e-03,0.13106,2.002e-06
MGA2,0.1,-0.09510,       NA,-0.039186,       NA,1.590e-07,       NA, 4.008,       NA,0.13848,       NA
EAF5,0.5,-0.08620,0.000e+00,-0.026087,3.412e-07,1.593e-07,9.066e-12, 4.007,1.259e-03,0.10792,3.456e-06
RCE1,0.3, 0.10486,5.774e-08, 0.020350,2.517e-08,1.711e-07,3.606e-12, 3.975,7.996e-04,0.06214,1.000e-07
SCS2,0.3,-0.09272,5.196e-07,-0.026159,3.265e-07,2.128e-07,3.439e-11, 3.881,7.361e-04,0.06367,1.185e-06
SDC1,0.4,-0.09537,2.000e-07,-0.028263,4.317e-07,2.494e-07,3.200e-11, 3.813,1.206e-03,0.11724,3.734e-06
TPK3,0.7, 0.07256,4.467e-07, 0.025821,5.509e-07,2.718e-07,9.764e-11, 3.775,8.021e-04,0.05962,1.208e-06
THP1,0.2,-0.11339,0.000e+00,-0.048871,2.828e-08,2.741e-07,2.828e-12, 3.771,1.004e-03,0.16334,7.071e-08
CDC26,0.4,-0.12010,5.000e-08,-0.025138,6.000e-08,2.822e-07,4.402e-11, 3.758,6.387e-04,0.09733,1.284e-06
PHO85,0.3,-0.10583,5.774e-07,-0.056757,6.900e-07,3.079e-07,4.041e-11, 3.721,1.455e-03,0.08272,1.819e-06
ELA1,0.1,-0.10460,       NA,-0.020133,       NA,3.246e-07,       NA, 3.698,       NA,0.10181,       NA
EXO1,0.4,-0.09131,3.202e-07,-0.034584,3.001e-07,3.344e-07,3.719e-11, 3.685,1.244e-03,0.06240,6.500e-07
BUD13,0.3, 0.09706,0.000e+00, 0.026083,1.528e-08,3.353e-07,2.517e-12, 3.683,3.984e-04,0.13691,1.528e-07
RIC1,0.4,-0.09260,4.349e-07,-0.033903,3.815e-07,3.529e-07,5.663e-11, 3.662,3.189e-04,0.12068,2.139e-06
RAD52,0.3,-0.09653,4.041e-07,-0.031956,2.339e-07,3.646e-07,2.281e-11, 3.647,7.004e-04,0.13615,3.089e-06
RAM1,0.2,-0.09588,0.000e+00,-0.082715,7.071e-09,3.898e-07,0.000e+00, 3.620,9.970e-04,0.14293,7.071e-08
ZWF1,1.0,-0.07170,1.800e-02,-0.009887,7.875e-03,3.948e-07,5.409e-08, 3.616,5.109e-02,0.84287,2.691e-01
CSE2,0.4,-0.11467,6.652e-07,-0.045768,5.110e-07,3.999e-07,6.352e-11, 3.607,1.428e-03,0.12162,1.761e-06
SIN3,0.7,-0.08559,4.811e-07,-0.047809,6.097e-07,4.005e-07,6.150e-11, 3.606,1.110e-03,0.17046,3.155e-06
RTT107,0.5,-0.11768,5.477e-08,-0.022174,8.367e-09,4.190e-07,1.000e-12, 3.587,5.904e-04,0.08173,5.477e-08
SCP160,0.6, 0.13574,8.165e-08, 0.018854,1.506e-08,4.322e-07,5.382e-12, 3.573,7.268e-04,0.07807,8.165e-08
NRG1,0.3, 0.08207,5.774e-08, 0.021268,2.517e-08,4.750e-07,7.024e-12, 3.533,1.472e-03,0.06268,1.000e-07
UFD4,0.5, 0.09715,1.789e-07, 0.030691,2.537e-07,4.774e-07,4.390e-11, 3.531,1.062e-03,0.07123,7.635e-07
ASK10,0.3,-0.08719,3.464e-07,-0.037421,5.023e-07,4.977e-07,6.380e-11, 3.512,1.019e-03,0.05640,1.155e-06
GRR1,0.2,-0.10028,0.000e+00,-0.077779,1.414e-08,5.343e-07,1.414e-12, 3.482,4.950e-04,0.17647,0.000e+00
CLB1,0.7, 0.11095,5.345e-08, 0.027169,2.193e-08,5.548e-07,6.683e-12, 3.465,7.828e-04,0.07640,5.345e-08
HAP2,0.7,-0.06908,0.000e+00,-0.025619,1.134e-08,6.653e-07,2.149e-12, 3.386,6.688e-04,0.08019,7.559e-08
PTH2,0.5,-0.06983,4.472e-08,-0.023811,2.236e-08,7.015e-07,1.069e-11, 3.363,1.174e-03,0.05709,5.477e-08
UBP8,1.0,-0.13192,8.258e-02,-0.020551,1.759e-02,7.676e-07,6.607e-07,12.999,1.278e+01,0.56579,3.859e-01
OPI3,0.1,-0.08596,       NA,-0.070445,       NA,8.604e-07,       NA, 3.274,       NA,0.24449,       NA
SEM1,0.5,-0.09052,7.727e-07,-0.036055,6.065e-07,9.420e-07,2.302e-10, 3.235,5.406e-04,0.11126,2.148e-06
HHF1,1.0,-0.07864,2.545e-02,-0.007944,5.066e-03,1.030e-06,7.376e-08, 3.197,2.966e-02,0.67131,4.077e-01
SWD3,0.3,-0.09928,4.619e-07,-0.034338,3.002e-07,1.271e-06,1.732e-11, 3.105,3.984e-04,0.11480,2.887e-06
OCA6,0.6, 0.05274,2.805e-07, 0.024651,3.870e-07,1.313e-06,3.321e-10, 3.091,1.241e-03,0.07271,1.056e-06
TSL1,0.3,-0.10274,0.000e+00,-0.034106,2.309e-08,1.473e-06,1.732e-11, 3.041,4.013e-04,0.22394,1.528e-07
SIR4,0.7, 0.09129,0.000e+00, 0.063810,3.485e-08,1.615e-06,1.113e-11, 3.001,9.848e-04,0.05855,5.345e-08
LSM1,0.4,-0.11995,9.574e-08,-0.034956,3.304e-08,1.755e-06,2.828e-11, 2.965,5.716e-04,0.07954,5.000e-08
PUF6,0.3,-0.09980,5.774e-08,-0.025695,1.528e-08,1.809e-06,1.732e-11, 2.951,4.013e-04,0.12291,5.774e-08
YOR338W,0.5,-0.13300,1.039e-05,-0.021677,2.756e-06,1.856e-06,3.937e-09, 2.940,1.254e-03,0.05117,6.261e-06
RAD5,0.2,-0.09068,0.000e+00,-0.024276,1.414e-08,1.933e-06,1.414e-11, 2.922,9.970e-04,0.10739,1.414e-07
SIW14,0.4, 0.05314,9.179e-07, 0.024031,6.654e-07,2.028e-06,9.420e-10, 2.903,8.856e-04,0.08000,1.784e-06
IES1,0.6,-0.08728,4.082e-08,-0.018645,1.265e-08,2.195e-06,1.897e-11, 2.867,8.226e-04,0.09614,9.832e-08
HER2,0.7,-0.06499,1.890e-07,-0.002980,0.000e+00,2.308e-06,1.092e-10, 2.846,1.109e-03,0.87590,1.339e-06
CBF1,0.7,-0.09887,0.000e+00,-0.044330,2.360e-08,2.381e-06,1.633e-11, 2.832,1.149e-03,0.12109,1.134e-07
INO4,0.1,-0.09128,       NA,-0.056624,       NA,2.440e-06,       NA, 2.822,       NA,0.13402,       NA
RCM1,0.3, 0.08864,9.815e-07, 0.026677,8.892e-07,2.484e-06,1.051e-09, 2.813,7.281e-04,0.12104,5.052e-06
CTF4,0.1,-0.10140,       NA,-0.027635,       NA,2.503e-06,       NA, 2.811,       NA,0.15610,       NA
MAC1,0.5,-0.07265,0.000e+00,-0.023457,2.302e-08,2.751e-06,3.715e-11, 2.770,1.279e-03,0.07713,8.367e-08
