,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
SIR1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,         NA,       NA,       NA,0.0132220,0.9867780
SIF2, 2.58108e-02, 7.49312e-03,2.50139e-01, 0.058349042, 7.28923e-03,1.70351e-04,-0.050693862,-3.66749e-02,5.01579e-01, 5.80303e-02, 7.81622e-03,1.03426e-04, 0.0000000, 0.96247537,0.0000000,1.1791924,0.0899884,0.9100116
SIN3,-1.14401e-02,-2.52878e-03,3.76984e-01,-0.092101069,-4.13440e-02,7.85356e-05,-0.011966096,-2.30108e-03,4.45407e-01,-6.38166e-02,-5.94852e-02,1.24746e-01, 0.0000000, 1.29875352,0.0000000,0.0000000,0.7876139,0.2123861
SGF29,-6.80757e-02,-8.66406e-03,1.00140e-05,-0.040349315,-1.80330e-02,1.42591e-02,-0.067690951,-9.09296e-03,9.39304e-06,-2.35638e-02,-1.57301e-02,6.50538e-01, 2.1932113, 0.00000000,2.2210138,0.0000000,0.8569650,0.1430350
SGF73, 6.30958e-02, 2.06966e-02,2.87361e-02,-0.039380609,-6.36824e-03,1.21469e-02, 0.059389646, 5.66557e-02,2.37745e-01,-3.81380e-02,-6.56396e-03,1.28806e-02, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1554074,0.8445926
SET3, 5.14167e-02, 5.65159e-03,1.06392e-03, 0.035103512, 1.04151e-02,5.39684e-02, 0.046082160, 5.49296e-03,2.20618e-03, 3.60120e-02, 2.00795e-02,5.79584e-01, 0.1669092, 0.00000000,0.0000000,0.0000000,0.8835375,0.1164625
SET2, 4.04633e-02, 4.62887e-03,2.28687e-02,-0.083215393,-2.05220e-02,2.97759e-03, 0.037014737, 5.05911e-03,1.68982e-02,-2.84885e-02,-1.63816e-02,5.31805e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.8249344,0.1750656
SAS4, 4.80678e-03,-4.52301e-03,5.86767e-01,-0.013097429,-1.11633e-03,4.60712e-01,-0.035241016,-2.51042e-02,5.72358e-01,-7.67936e-03,-7.97425e-04,6.10980e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.0864538,0.9135462
SDS3,-8.30096e-02,-2.90524e-02,2.54457e-03, 0.016154834, 2.72551e-03,3.09913e-01,-0.045786036,-3.99296e-02,2.70952e-01, 1.30110e-02, 2.34564e-03,4.06690e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.2149246,0.7850754
SAS5,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,         NA,       NA,       NA,0.9726947,0.0273053
SAS2,-1.24584e-02,-3.66495e-02,3.92002e-04, 0.024167900, 1.88674e-03,1.20239e-01,-0.087832922,-7.31977e-02,2.35781e-01, 2.69554e-02, 2.24194e-03,7.17029e-02, 0.6005322, 0.00000000,0.0000000,0.0000000,0.0534248,0.9465752
RTT106,-7.61385e-03,-1.64503e-03,3.56811e-01,-0.147068836,-4.01507e-02,9.04130e-12,-0.012837040,-1.53930e-03,4.04561e-01,-5.82742e-02,-2.84975e-02,2.27311e-01, 0.0000000, 8.23758933,0.0000000,0.0000000,0.8430988,0.1569012
