,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
RPA12,0.149440132161732,-0.00708010560559294,-0.00183911953072538,0.360802074705098,0.850559867838268,0.000949854997799102,0.00146167934421005,0.107891441277482,Y
RNR4,0.184478130895419,0.27408199798253,-0.0312556182576508,0.555914162473639,0.815521869104581,0.000292662490274566,-0.0145532193156356,0.176121535048984,Y
RMI1,0.102249909970056,0.31781541062492,-0.0452562600370035,0.440176965160317,0.897750090029944,0.000683225439403291,-0.00403490359932284,0.0989072974642656,Y
RIM1,0.865300713501984,0.0189218822599041,-0.0175766799528075,0.19686723574382,0.134699286498016,0.333101608212809,-0.0657829978479,0.650096753782382,Y
RGP1,0.815941421137461,0.00918799691719983,-0.0124938829891783,0.179882713993774,0.184058578862539,0.400681445004344,-0.0701738887166809,0.685081120059862,Y
RGT2,0.933464611852995,-0.00243238532366208,-3.11345337868806e-05,0.0773086629410642,0.0665353881470055,0.0567545678249879,0.0637678312792934,0.351910422283662,Y
RIC1,0.142082277318651,0.274237226229559,-0.0420751791190071,0.497677742380166,0.857917722681349,0.00803991642754022,-0.00483978089267954,0.115401894937073,Y
RIF1,0.954354034802332,-0.00114566008679935,0.00122285635966129,0.0500210293148961,0.0456459651976684,-0.082428677764736,0.0405279408751849,0.257874512289805,Y
REG1,0.833919228667538,0.0106453274120755,-0.0198612116435347,0.255626512631817,0.166080771332462,0.619908497190889,-0.0862287979926877,1.07216082871471,Y
REV3,0.0685350367989671,-0.0952179426529445,0.00379400401371789,0.222099805436366,0.931464963201033,-0.000354921569682118,-0.000454960057032883,0.0555587270882397,Y
RCE1,0.913789007379049,0.00576191876552188,0.00177356754015131,0.0959733761920193,0.0862109926209512,-0.0902211600847282,-0.035048686501191,0.270962269362682,Y
RAS2,0.915760669083532,-0.000985645125737554,-0.00201742713513225,0.0791201816177166,0.0842393309164679,0.125338900770353,-0.0434245193718023,0.400191143186526,Y
RAI1,0.822243053535088,-0.000329266697182083,-0.00680041484542635,0.172749829951326,0.177756946464912,0.210751375290177,-0.0426373776342418,0.572315651127956,Y
RAM1,0.186364434466847,0.631531028231463,-0.0871085112365454,1.19889960026664,0.813635565533153,0.0253046856248399,-0.0242430556687169,0.337310938934749,Y
RAD57,0.848148270708951,0.00726466360304093,-0.00256553460805868,0.089572680269441,0.151851729291049,0.181968258961188,-0.0213529531832688,0.333458771839282,Y
RAD54,0.881588676601552,0.0026125253380907,-0.00386910302437714,0.103901756502634,0.118411323398448,0.20854558635831,-0.0418924240885573,0.349600250113914,Y
RAD50,0.84526587582271,0.00712926123512072,-0.0060868234251636,0.150066125747328,0.15473412417729,0.387159643083812,-0.0556780032436738,0.529771806033834,Y
RAD55,0.880529673910583,-0.00505233991154613,0.000288656201298984,0.0689455873636133,0.119470326089417,0.113893289357418,-0.00622364430590836,0.239365513135688,Y
