,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
LSM1,0.4,-0.11995,1.414e-07,-0.034956,6.164e-08,1.755e-06,5.196e-11, 2.965,3.503e-04,0.07954,1.258e-07
PUF6,0.6,-0.09980,5.164e-08,-0.025695,2.074e-08,1.809e-06,2.251e-11, 2.952,3.654e-04,0.12291,8.367e-08
YOR338W,0.4,-0.13299,8.165e-08,-0.021675,2.160e-08,1.858e-06,2.986e-11, 2.940,7.017e-04,0.05117,5.000e-08
RAD5,0.4,-0.09068,7.000e-07,-0.024276,4.467e-07,1.933e-06,3.867e-10, 2.923,7.504e-04,0.10739,3.334e-06
SIW14,0.2, 0.05314,7.071e-08, 0.024030,2.828e-08,2.028e-06,4.243e-11, 2.902,7.071e-06,0.08000,7.071e-08
IES1,0.5,-0.08728,6.261e-07,-0.018645,2.538e-07,2.195e-06,3.298e-10, 2.868,3.049e-04,0.09614,1.778e-06
HER2,0.6,-0.06499,0.000e+00,-0.002980,0.000e+00,2.308e-06,1.033e-11, 2.846,6.930e-04,0.87590,9.832e-08
CBF1,0.5,-0.09887,7.120e-07,-0.044330,5.835e-07,2.381e-06,3.835e-10, 2.833,6.705e-04,0.12109,2.439e-06
INO4,0.3,-0.09128,5.774e-07,-0.056624,5.918e-07,2.440e-06,1.674e-10, 2.822,8.429e-04,0.13401,3.580e-06
RCM1,0.6, 0.08864,7.120e-07, 0.026677,6.362e-07,2.484e-06,7.513e-10, 2.814,4.593e-04,0.12105,3.626e-06
CTF4,0.4,-0.10140,8.660e-07,-0.027636,2.685e-07,2.503e-06,1.415e-10, 2.811,6.964e-04,0.15609,4.331e-06
MAC1,0.5,-0.07265,0.000e+00,-0.023457,2.000e-08,2.751e-06,3.130e-11, 2.770,3.109e-04,0.07713,5.477e-08
MMS22,0.5,-0.09567,7.057e-07,-0.032029,1.344e-07,2.803e-06,1.085e-10, 2.761,3.309e-04,0.15289,2.371e-06
TOP3,0.2,-0.10945,7.071e-08,-0.029467,7.071e-09,2.864e-06,3.536e-11, 2.753,1.004e-03,0.07630,1.414e-07
CAF130,0.3,-0.10524,0.000e+00,-0.023350,1.000e-08,3.094e-06,1.155e-11, 2.719,8.141e-04,0.07287,5.774e-08
URC2,0.6,-0.07530,1.643e-07,-0.017462,3.889e-07,3.094e-06,5.222e-10, 2.719,7.086e-04,0.15508,6.957e-06
SRV2,0.3,-0.10095,5.196e-07,-0.057766,9.185e-07,3.471e-06,1.109e-09, 2.669,8.915e-04,0.14114,1.819e-06
SNF2,0.7,-0.02748,4.880e-08,-0.056007,4.348e-08,3.580e-06,3.697e-11, 2.656,6.298e-04,0.09765,6.901e-08
SIR2,0.2,-0.06034,0.000e+00,-0.006683,0.000e+00,3.911e-06,7.071e-11, 2.617,7.071e-06,0.94999,3.536e-07
DHH1,0.5,-0.11016,3.205e-06,-0.037719,1.533e-06,3.921e-06,2.440e-09, 2.616,5.967e-04,0.11490,4.300e-06
RRP8,0.5,-0.08431,1.342e-07,-0.022996,3.713e-07,3.952e-06,7.336e-10, 2.613,6.641e-04,0.08046,1.666e-06
RTT106,0.6,-0.11201,2.858e-07,-0.024536,3.266e-08,3.961e-06,2.084e-10, 2.612,6.175e-04,0.11702,1.676e-06
RAD27,0.3,-0.10048,0.000e+00,-0.031674,1.000e-08,4.219e-06,5.774e-12, 2.584,8.141e-04,0.12110,5.774e-08
CST6,0.2,-0.08003,0.000e+00,-0.062094,0.000e+00,4.430e-06,7.071e-12, 2.563,9.970e-04,0.15493,0.000e+00
IRC25,0.6,-0.09180,9.295e-07,-0.020169,2.854e-07,4.990e-06,7.592e-10, 2.511,3.889e-04,0.16615,4.209e-06
PET112,0.5, 0.11797,7.190e-07, 0.016823,1.221e-07,5.076e-06,3.128e-10, 2.504,7.178e-04,0.09217,1.043e-06
BIK1,0.4, 0.07820,0.000e+00, 0.015103,9.574e-09,5.215e-06,5.354e-11, 2.493,6.763e-04,0.06366,5.000e-08
ENV11,0.2,-0.06488,0.000e+00,-0.006444,0.000e+00,5.494e-06,7.071e-12, 2.470,9.899e-04,0.79700,0.000e+00
CTI6,1.0, 0.09403,4.032e-02, 0.025707,1.904e-02,6.358e-06,6.702e-06, 5.655,3.741e+00,0.50553,4.075e-01
IOC2,0.4,-0.09478,1.184e-06,-0.020995,5.373e-07,7.058e-06,2.395e-09, 2.361,5.543e-04,0.07784,1.965e-06
SAP155,0.2,-0.07525,0.000e+00,-0.028965,7.071e-09,7.171e-06,7.071e-12, 2.354,9.970e-04,0.10937,7.071e-08
BRE1,0.1,-0.09906,       NA,-0.034037,       NA,7.187e-06,       NA, 2.354,       NA,0.12122,       NA
ULS1,0.2,-0.04743,0.000e+00,-0.022559,4.243e-08,8.471e-06,2.263e-10, 2.281,1.414e-05,0.06249,7.071e-08
DOC1,0.4,-0.11333,4.856e-07,-0.034615,1.000e-08,1.017e-05,9.000e-10, 2.202,6.400e-04,0.13324,2.084e-06
HST1,0.8,-0.06024,7.071e-08,-0.006139,3.536e-09,1.058e-05,1.982e-10, 2.185,6.466e-04,0.94324,1.642e-07
MSH2,0.7,-0.05904,0.000e+00,-0.006135,0.000e+00,1.069e-05,0.000e+00, 2.180,5.547e-04,0.92816,5.345e-08
ARX1,0.3,-0.08155,5.774e-08,-0.023868,2.309e-08,1.227e-05,1.732e-10, 2.121,8.170e-04,0.08700,5.774e-08
NFI1,0.6,-0.08267,0.000e+00,-0.018674,7.528e-09,1.232e-05,5.164e-11, 2.119,6.882e-04,0.10946,7.528e-08
LGE1,0.5,-0.09823,1.991e-06,-0.034288,1.266e-06,1.389e-05,6.240e-09, 2.067,8.071e-04,0.08576,3.669e-06
SUM1,0.8,-0.05873,9.258e-08,-0.004815,0.000e+00,1.615e-05,3.980e-10, 2.001,7.274e-04,0.93361,2.507e-07
