,int,beta,beta_pval,sigma,adj_pval
ELM1,0.00808477947122248,-0.00530548154093695,0.0334917507999741,0.194929673409689,1
NUP133,0.0324947051831238,-0.00860067765529618,0.0334928987660425,0.316001130543474,1
RAD50,0.0439540069277101,-0.00748532613055384,0.033504536564884,0.275039618586042,1
RRG9,0.0301205427193564,-0.00970357135258959,0.0338140919075281,0.357168802688542,1
RAD52,0.0290220086103131,-0.00654051612189835,0.0366029080518563,0.2444435743608,1
ISW1,0.0255345813737272,-0.0052313036962938,0.0376554279259871,0.196603007973059,1
MSH2,0.00332151575346161,-0.00523122419407795,0.0377210730804583,0.196667511428902,1
PDR3,-0.00454536307478794,0.00255396189639659,0.0381197509210029,0.0962155758163128,1
PUS9,0.00238838721072769,0.00216845163222543,0.0386830988194286,0.0819302705169238,1
ZAP1,0.0240676344370368,-0.00611072273518133,0.0390508547650324,0.231316019264568,1
MBP1,0.000570389651627992,-0.00369001806201882,0.0416729508377873,0.14152639909994,1
NHP10,0.0142085303084225,-0.00437293388950725,0.0416975626850646,0.167739069154283,1
SHR5,0.0030723305274377,-0.00381492803700661,0.0420287755772503,0.146571748575739,1
SRB8,0.0369429481478563,-0.0106814337285127,0.0421052410411252,0.410539708884234,1
ASE1,0.00491256496727624,-0.00284384497659766,0.0423096316004077,0.109411466350533,1
OPI3,0.0942030857281083,-0.0170232606329257,0.0426482265235321,0.656011172180843,1
SEH1,0.00842657563313311,-0.00619014206059142,0.0426949942705118,0.238598166703477,1
TCO89,0.00868861434946879,-0.00653534196827418,0.043521118545079,0.252903422058153,1
DEP1,0.0172488238369034,-0.00833186707966878,0.0441476718209717,0.323384576314652,1
RCY1,0.0487960279679676,-0.00950865095604762,0.0449131355494004,0.370387976247546,1
SNF6,0.0132227988951321,-0.00783999552775851,0.0456713927097069,0.306466889352049,1
NAM7,0.0900932741311276,-0.0095749591198702,0.0457234356585513,0.374376930009199,1
LDB7,-0.0217094966176107,0.00470405558165188,0.0463148578587217,0.184427564356438,1
CCR4,0.0599641198255091,-0.0107947262361996,0.0484468773952288,0.427313131531616,1
RPN13,0.0232695758317317,-0.00727637848561327,0.0487423708587646,0.288416594229538,1
CST6,0.0885331764355516,-0.0131061169882163,0.0493006239379418,0.520775662621054,1
PEP7,0.0348710092244545,-0.00757732296363455,0.0500260807083187,0.302046549157758,1
GSY1,0.00208132342220829,-0.00260086552155363,0.0518999541707345,0.104517211343704,1
RNY1,0.039827989407163,-0.00729229808337946,0.0519429939976615,0.293098815799639,1
CHD1,0.0060191206012841,-0.00405346722555346,0.052225179150735,0.163116571349997,1
HFM1,0.0123630698594328,-0.00456561366759253,0.0523295308691046,0.183807440614912,1
NMD2,0.0869673996617352,-0.00934764110290646,0.0529615068767237,0.377334777193884,1
PEX22,0.000429639741559195,0.00272531282645783,0.0536865538423041,0.110347525447081,1
IRC25,0.00919964013787405,-0.00443048599121865,0.0539001486931806,0.179549752619825,1
NGG1,0.00818458660020645,-0.00857066016134409,0.053922867317493,0.347367231754525,1
YPT6,0.0489342839295257,-0.00899267613906698,0.0547274630856058,0.365690255387366,1
TUB3,0.0334685429944172,-0.00641997433919732,0.0571409306394269,0.263651758657182,1
PFK2,0.0480273025816318,-0.00951811338424986,0.0573223092356651,0.391169457410165,1
