,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2,em_beta_1,em_beta_2,ratio_1,ratio_2
SWI3,-3.58671e-02,7.16444e-03,-6.28373e-03,7.16444e-03,-6.99352e-02,1.23254e-01,-7.25714e-02,1.23254e-01, 0.00000000, 0.0000000,-5.81928e-03,-3.67616e-02,0.8685424,0.1314576
SWC3, 1.41161e-02,8.02625e-01, 5.00131e-03,8.02625e-01, 2.23472e-02,8.90484e-02, 2.08991e-03,8.90484e-02, 0.00000000, 0.0000000,-6.21492e-04, 1.87940e-03,0.1065436,0.8934564
SPT8,-5.33882e-02,2.70999e-01,-3.91547e-02,2.70999e-01, 9.77223e-03,4.61519e-01, 1.25388e-03,4.61519e-01, 0.00000000, 0.0000000, 6.82534e-03, 1.31453e-03,0.1093446,0.8906554
SUS1,-4.08739e-02,1.75226e-03,-6.61992e-03,1.75226e-03,-1.32169e-01,3.75244e-02,-9.15965e-02,3.75244e-02, 0.00000000, 0.0000000,-6.68506e-03,-5.50295e-02,0.9104197,0.0895803
SPT3,-7.85223e-02,9.61830e-02,-7.27373e-02,9.61830e-02, 2.04074e-02,1.24852e-01, 3.28302e-03,1.24852e-01, 0.00000000, 0.0000000,-1.40274e-02, 2.44509e-03,0.1209856,0.8790144
SPT7,-2.38044e-02,7.44637e-02,-5.80680e-03,7.44637e-02,-2.16569e-02,6.32140e-01,-2.37337e-02,6.32140e-01, 0.00000000, 0.0000000,-4.72758e-03, 4.85426e-02,0.8638627,0.1361373
CYC8,-9.66482e-03,4.83886e-01,-3.28960e-03,4.83886e-01, 4.18404e-02,2.20830e-01, 6.30804e-02,2.20830e-01, 0.00000000, 0.0000000,-1.47928e-03,-7.68697e-02,0.7981721,0.2018279
SWC5,-7.72933e-02,1.46125e-01,-3.93182e-02,1.46125e-01, 7.08854e-03,5.90923e-01, 7.95624e-04,5.90923e-01, 0.00000000, 0.0000000,-1.30806e-02, 9.62688e-04,0.1165650,0.8834350
SIR2,-6.04350e-02,3.54704e-06,-6.90528e-03,3.54704e-06, 1.19329e-01,7.08688e-02, 1.55291e-01,7.08688e-02, 2.60565647, 0.0000000,-6.76710e-03, 1.15049e-01,0.9502459,0.0497541
SPT20,-4.85745e-02,2.04507e-01,-5.82813e-02,2.04507e-01,-1.04250e-02,4.42755e-01,-2.56411e-03,4.42755e-01, 0.00000000, 0.0000000,-1.44043e-02,-3.12348e-03,0.1950255,0.8049745
SIR4, 6.38664e-02,2.93039e-01, 7.51588e-02,2.93039e-01, 6.39707e-03,6.25187e-01, 6.86245e-04,6.25187e-01, 0.00000000, 0.0000000, 8.15611e-02, 8.08663e-04,0.0583776,0.9416224
