,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
MKS1, 1.66485e-02, 1.63166e-03,2.18012e-01,-3.70198e-02,-1.52358e-02,6.91050e-02, 1.82102e-02, 1.91690e-03,1.64129e-01,-3.70779e-02,-3.09450e-02,5.45603e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.9310969,0.0689031
MET18, 8.95919e-03, 6.87112e-04,5.97438e-01,-7.74049e-02,-1.89550e-02,5.12350e-05, 6.32470e-03, 6.30470e-04,6.43036e-01,-6.36935e-02,-2.99473e-02,8.44192e-02, 0.0000000, 1.4973414, 0.000000, 0.0000000,0.7988195,0.2011805
MFT1, 1.24241e-03,-1.84520e-04,8.85877e-01,-5.71618e-02,-1.75570e-02,3.10571e-03,-8.85633e-04,-8.94597e-05,9.46339e-01,-4.42798e-02,-2.65362e-02,4.23422e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.9106136,0.0893864
MET13,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0213189,0.9786811
MGA2, 2.41384e-02, 3.20725e-03,1.53004e-01,-9.82913e-02,-4.04065e-02,2.70262e-08, 1.93365e-02, 3.40165e-03,1.49147e-01,-5.72758e-02,-3.45556e-02,1.83856e-01, 0.0000000, 4.7751242, 0.000000, 0.0000000,0.8514238,0.1485762
MEI5, 7.08429e-02, 1.55656e-02,1.39320e-03,-3.30627e-02,-2.18563e-03,2.87768e-02, 3.44303e-02, 1.57366e-02,4.81609e-01,-2.71617e-02,-2.13154e-03,4.05352e-02, 0.0628936, 0.0000000, 0.000000, 0.0000000,0.1061908,0.8938092
SRB8,-1.03054e-01,-5.65220e-02,1.78092e-05, 5.33810e-03, 2.55036e-04,9.17348e-01,-4.35127e-02,-5.27014e-02,3.31063e-01, 4.58016e-03, 8.86259e-04,7.31706e-01, 1.9562630, 0.0000000, 0.000000, 0.0000000,0.1214113,0.8785887
SSN2,-1.24710e-03,-8.98291e-04,7.05801e-01,-1.19930e-01,-7.35785e-02,1.13339e-09,-5.69419e-03,-1.07663e-03,6.69344e-01,-4.74027e-02,-5.04640e-02,3.00008e-01, 0.0000000, 6.1525280, 0.000000, 0.0000000,0.8812248,0.1187752
MDS3, 2.52008e-02, 5.79235e-03,4.50270e-01,-1.84172e-02,-2.04555e-03,2.30171e-01, 9.47031e-03, 7.10088e-03,8.28291e-01,-1.88277e-02,-2.53583e-03,1.59657e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.1409909,0.8590091
MCM21,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9549083,0.0450917
