ID,Transcription responsiveness
YDL045C,674.1138858898
YDL045WA,358.6393780274
YDL045W-A,
YDL046W,1471.559325226
YDL047W,755.9112859728
YDL048C,4075.6861521676
YDL049C,1962.5830133004
YDL050C,1233.2036102793
YDL051W,2020.6075322903
YDL052C,1498.8732328019
YDL053C,656.135263109
YDL054C,1708.3195024483
YDL055C,2304.6927179412
YDL056W,979.8586992506
YDL057W,830.1368494537
YDL058W,845.274050844
YDL059C,1049.1709632893
YDL060W,1565.450700619
YDL061C,2007.2364646268
YDL062W,1531.9017634221
YDL063C,1780.5604579994
YDL064W,998.5212484931
YDL065C,956.8605365965
YDL066W,2644.7816608031
YDL067C,1065.0253090673
YDL068W,1259.7787858023
YDL069C,698.5261632421
YDL070W,1638.1388377782
YDL071C,660.3202372675
YDL072C,1516.231309656
YDL073W,658.9001933324
YDL074C,836.0703497603
YDL075W,2089.8911923662
YDL076C,1032.5952265184
YDL077C,923.5590525369
YDL078C,1096.2412117118
YDL079C,1283.9083176954
YDL080C,700.9122748537
YDL081C,2143.9269721559
YDL082W,2268.386598489
YDL083C,2238.5054308118
YDL084W,997.9676713841
YDL085C-A,
YDL085W,2269.2068887796
YDL086C-A,
YDL086W,1566.5355973187
YDL087C,865.2234713589
YDL088C,1178.6741930887
YDL089W,804.9801399121
YDL090C,693.0379952804
YDL091C,898.0366535274
YDL092W,803.5655080994
YDL093W,799.2830689791
YDL094C,744.1000573851
YDL095W,1634.2595972983
YDL096C,1702.2161399689
YDL097C,1227.1306344811
YDL098C,801.1972101772
YDL099W,997.4385258344
YDL100C,1136.1480751181
YDL101C,1855.8202494439
YDL102W,1670.8668491931
YDL103C,1050.7167832346
YDL104C,785.7144314665
YDL105W,1000.7256651453
YDL106C,984.033367087
YDL107W,798.1577291803
YDL108W,541.7996041523
YDL109C,1295.000985223
YDL110C,2281.5964575478
YDL111C,994.5840328318
YDL112W,885.0914465144
YDL113C,788.0739604546
YDL114W,4596.8906393468
YDL114W-A,
YDL115C,826.2869924171
YDL116W,693.4998950253
YDL117W,937.9823811842
YDL118W,880.2737385546
YDL119C,770.6178738274
YDL120W,662.5290363931
YDL121C,1262.4892182932
YDL122W,1356.7792687524
YDL123W,972.8059357942
YDL124W,4154.8646464852
YDL125C,1235.0840750692
YDL126C,1767.4045869403
YDL127W,4761.9538782249
YDL128W,1158.3923978854
YDL129W,1190.2475313187
YDL130W,
YDL130WA,499.6465162691
YDL130W-A,
YDL131W,
YDL132W,1520.3724636551
YDL133CA,394.2558489221
YDL133C-A,
YDL133W,990.0985608539
YDL134C,1928.0193085947
YDL134C-A,
YDL135C,1231.3489088308
YDL136W,
YDL137W,970.4138526294
YDL138W,702.9382345499
YDL139C,743.9759664447
YDL140C,936.7922766263
YDL141W,1039.0238130818
YDL142C,654.4396871672
YDL143W,800.7382580973
YDL144C,917.8117747131
YDL145C,1044.0776392234
YDL146W,728.3906463998
YDL147W,1246.0271161797
YDL148C,2406.1501068125
YDL149W,1017.5299871101
YDL150W,1298.6784149203
YDL151C,
YDL152W,
YDL153C,1863.8328126255
YDL154W,1133.3280105085
