ID,Replication time
YDR175C,33.58
YDR176W,33.64
YDR177W,33.75
YDR178W,33.86
YDR179C,34.04
YDR179WA,
YDR179W-A,34.29
YDR180W,35.11
YDR181C,39.03
YDR182W,39.03
YDR182W-A,39.52
YDR183C-A,40.25
YDR183W,39.92
YDR184C,40.5
YDR185C,40.66
YDR186C,40.63
YDR187C,40.53
YDR188W,40.53
YDR189W,40.33
YDR190C,40.0
YDR191W,39.85
YDR192C,39.42
YDR193W,39.42
YDR194C,38.48
YDR194W-A,38.48
YDR195W,38.15
YDR196C,37.59
YDR197W,37.59
YDR198C,36.93
YDR199W,36.93
YDR200C,36.39
YDR201W,36.04
YDR202C,35.63
YDR203W,35.63
YDR204W,35.63
YDR205W,34.63
YDR206W,33.44
YDR207C,29.1
YDR208W,29.1
YDR209C,26.02
YDR210C-C,
YDR210C-D,
YDR210W,26.69
YDR210W-A,
YDR210W-B,
YDR211W,25.07
YDR212W,25.58
YDR213W,26.12
YDR214W,26.08
YDR215C,25.52
YDR216W,25.52
YDR217C,20.61
YDR218C,20.12
YDR219C,19.27
YDR220C,18.9
YDR221W,18.9
YDR222W,18.3
YDR223W,17.9
YDR224C,17.85
YDR225W,18.02
YDR226W,18.3
YDR227W,18.67
YDR228C,22.04
YDR229W,22.55
YDR230W,23.0
YDR231C,23.42
YDR232W,23.81
YDR233C,25.07
YDR234W,25.07
YDR235W,26.99
YDR236C,28.61
YDR237W,29.44
YDR238C,32.51
YDR239C,34.22
YDR240C,34.69
YDR241W,34.69
YDR242W,35.51
YDR243C,36.35
YDR244W,36.51
YDR245W,36.75
YDR246W,36.89
YDR246W-A,37.08
YDR247W,37.33
YDR248C,38.47
YDR249C,38.94
YDR250C,39.41
YDR251W,39.41
YDR252W,40.42
YDR253C,40.54
YDR254W,40.54
YDR255C,40.29
YDR256C,39.83
YDR257C,39.38
